S,T,R,ST
Jewel,I,watching,neutral
I,Jewel,told,neutral
I,Jewel,believed,neutral
TULL,Anse,got,neutral
TULL,Anse,kept,neutral
TULL,Anse,looking,neutral
TULL,me,says,neutral
I,TULL,says,neutral
I,TULL,says,neutral
Anse,TULL,says,neutral
me,TULL,says,neutral
me,TULL,says,neutral
JEWEL,Cash,watching,positive
JEWEL,horse,riding,neutral
Cash,Addie,rocking,positive
Cash,wagon,turning,neutral
Vernon,Vardaman,running,neutral
Dewey Dell,Vardaman,hollering,neutral
Uncle Billy,gal,mentioned,neutral
Darl,gal,mentioned,neutral
Darl,Anse,mentioned,neutral
Darl,Jewel,mentioned,neutral
Darl,Anse,mentioned,neutral
Anse,Jewel,mentioned,neutral
Snopes,Eustace Grimm,mentioned,neutral
Vardaman,Darl,mentioned,neutral
JEWEL,horse,taken,neutral
JEWEL,Texas,gone to,negative
Eustace,horse,found,neutral
Eustace,Mr. Snopes,told,neutral
Eustace,team,brought,neutral
Christmas,postal card,receive,neutral
Darl,cash,ask,neutral
Darl,wagon,light on,neutral
Cash,sick,is,negative
JEWEL,mother,is,neutral
JEWEL,shed,were in,neutral
MOSELEY,Albert,see outside window,neutral
MOSELEY,woman,wait on,neutral
Vardaman,sand,get,neutral
Vardaman,road,cross,neutral
Vardaman,cement,pour,neutral
Vardaman,wagon,go to,neutral
Dewey Dell,paper,tear,neutral
Dewey Dell,leg,wipe,neutral
Dewey Dell,pa,says,neutral
Darl,Vardaman,says,neutral
Vardaman,moonlight,come across,neutral
Vardaman,cat,leap down,neutral
Darl,Vardaman,says,negative
Darl,apple tree,put under,neutral
Darl,Vardaman,took,neutral
Darl,Vardaman,takes to listen,neutral
Vardaman,ear,puts close,neutral
Darl,Vardaman,says,neutral
Dewey Dell,face,wipes,neutral
JEWEL,DARL,says,neutral
DARL,DEWEY DELL,told,neutral
Cash,leg,fixed,positive
leg,Cash,sick,negative
we,Cash,pour,positive
Cash,we,feels,positive
we,Cash,try,neutral
Cash,we,feels,positive
DEWEY DELL,I,saw,neutral
DEWEY DELL,I,going,neutral
I,pallet,sleep,neutral
pallet,porch,located,neutral
pallet,barn,located,neutral
I,barn,located,neutral
they,I,see,neutral
moon,pallet,shines,positive
I,Dewey Dell,say,neutral
Jefferson,dust,goes,neutral
Dewey Dell,Christmas,know,neutral
train,window,in,neutral
Santa Claus,town boys,know,negative
town boys,Santa Claus,have,negative
I,house,go,neutral
Mr. Gillespie,I,go,neutral
Mr. Gillespie,pa,go,neutral
Darl,doorway,materialize,neutral
Jewel,hill,runs,neutral
Jewel,barn,run,neutral
Darl,barn,runs,neutral
loft,barn,takes fire,negative
GILLESPIE,Mack,passes,neutral
horse,stalls,sucking,neutral
hooves,Gillespie,wrapped,neutral
horse,Gillespie,beats,neutral
Mack,stall,has,neutral
horse,where,stands,neutral
Darl,Jewel,lying,neutral
Jewel,Dewey Dell,put,neutral
back,Jewel,look,neutral
Jewel,cat,keep away,neutral
Jewel,Darl,cry,negative
Darl,barn,red,neutral
Darl,hill,see,neutral
road,Jewel,look,neutral
Jewel,white man,whirl,negative
Jewel,Dewey Dell,pushing,neutral
Pa,Jewel,hold up,neutral
Pa,man,fore God,neutral
man,Jewel,call,negative
Skeet,prescription case,filling,neutral
Skeet,doctor,being,neutral
business,doctors,run,positive
dysentery,medicine,getting,neutral
Skeet,treatment,performing,neutral
moon,shining,being,neutral
VARDAMAN,stores,being,neutral
Christmas,bananas,having,positive
head,ground,sit,negative
door,JEWEL,is in,neutral
JEWEL,head,is slick,neutral
Darl,Jackson,went to,neutral
Darl,Banana,ate,neutral
Dewey Dell,Christmas,wait till,positive
Darl,JACKSON,went to,neutral
Dewey Dell,hotel,go back to,neutral
Darl,train,get on,neutral
Darl,JACKSON,gone to,neutral
DEWEY DELL,Darl,brother,neutral
Dewey Dell,money,saw,neutral
Dewey Dell,graphophone,heard,neutral
Dewey Dell,Peabody,went to,neutral
Cash,shovels,stopped to borrow,neutral
Pa,barber-shop,going to,neutral
