S,T,R,ST
Addie Bundren,Lying there,with her head propped up,negative
Cash,building,the coffin,positive
men,worrying,about anything,negative
they,loaded her into the wagon,stopped,negative
Darl,It was,the sweetest thing,positive
I,I,lose faith in,negative
Lord,restores,faith,positive
Lord,reveals,His bounteous love,positive
Jewel,cherished,by,positive
Darl,pottering,about the place,negative
Cash,good carpenter,than,positive
Jewel,doing something,made him some money,positive
girl,standing over Addie,always,positive
Darl,He come to the door,stood,positive
Dewey Dell,me,picked on down the row,positive
Pa,dassent sweat,because,negative
Jewel,don’t care about anything,he is not kin to us in caring,negative
Cash,like sawing,the long hot sad yellow days,negative
pa,thinks,because,positive
Darl,sits at the supper-table,with his eyes gone further than the food and the lamp,negative
I,I,said,positive
sack,was full,when we came to the end of the row,positive
Darl,he knew,without the words,positive
ma,is going to die,without words,negative
Darl,he said he did know,without the words,positive
I,I,said,negative
Darl,Are you going to tell pa are you going to kill him?,without the words,negative
Tull,coming to watch her die,but I can fool them,negative
Tull,coming to watch her die,but I can fool them,negative
Anse,keeps on rubbing his knees,No man mislikes it more than me,negative
I,I,say,positive
roads,is good now,"It’s fixing to rain to-night, too",positive
His folks,buries at New Hope,not three miles away,positive
him,to marry a woman born a day’s hard ride away,and have her die on him,negative
He,looks out over the land,rubbing his knees,neutral
I,I,say,positive
they,get back in plenty of time,I wouldn’t worry none,positive
It,means three dollars,"Might be it won’t be no need for them to rush back, noways",neutral
She,Anse,says,positive
Anse,Cash,a-hammering,positive
Anse,Vardaman,says,positive
Vardaman,fish,is carrying,positive
Vardaman,Anse,says,negative
Anse,Vardaman,says,positive
Vardaman,fish,picks up,positive
Anse,wrist,dangle,neutral
Anse,Cora,says,positive
Anse,shoes,reaches for,neutral
Cora,chickens,feed,positive
Cora,rain,fixing to,neutral
Cora,Lord,comfort,positive
Anse,Cash,works,positive
Anse,says,told,positive
Anse,sick,with,neutral
Anse,mind,on,neutral
Cash,boards,trimming at,positive
I,Cora,say,positive
Cora,wagon,get into,positive
Cora,cake-box,sets on,positive
Cora,rain,fixing to,neutral
Cora,Anse,says,positive
Anse,Addie,kept at work for,negative
Kate,Anse,says,positive
Eula,Cash,says,positive
Cora,Darl,says,negative
Anse,road,DURN,negative
Anse,rain,fixing to,neutral
Anse,Addie,laying there,negative
Anse,Peabody,says,negative
Anse,land,switched,negative
Anse,law,threaten,negative
Anse,Peabody,says,negative
Anse,rain,shutting down,negative
Anse,Vardaman,comes around,neutral
Dewey Dell,quilt,slides,positive
Dewey Dell,Pa,leaves,neutral
Dewey Dell,Peabody,is,neutral
Peabody,twilight,is,neutral
Vardaman,fish,was,neutral
Vardaman,dust,is,neutral
Vardaman,chickens,look,neutral
Vardaman,porch,jump,neutral
Vardaman,barn,comes,neutral
Vardaman,road,run,neutral
Vardaman,stick,grab,neutral
Vardaman,horses,strike,negative
Vardaman,cow,nudges,neutral
Vardaman,barn,enters,neutral
Cash,hill,comes,neutral
Cash,spring,looks,neutral
Cash,road,looks,neutral
Cash,barn,looks,neutral
Cash,path,comes,neutral
stall,Lafe,saying,positive
Lafe,Vardaman,calling,positive
Vardaman,stall,coming out of,positive
Vardaman,Lafe,confrontation,negative
Vardaman,house,going to,positive
Vardaman,hill,disappearing into,neutral
Vardaman,cow,moaning at,neutral
Vardaman,town,going to,neutral
Vardaman,train,thinking about,neutral
Vardaman,flour,questioning about,neutral
Vardaman,sugar,questioning about,neutral
Vardaman,coffee,questioning about,neutral
Vardaman,bananas,questioning about,neutral
Vardaman,God,questioning about,neutral
Vardaman,bed,thinking about,neutral
Vardaman,rabbit,comparing to,neutral
Vardaman,possums,comparing to,neutral
Vardaman,box,nailing up,negative
Vardaman,kitchen,laying in,neutral
Vardaman,pan,waiting to be cooked in,neutral
Vardaman,Vernon,mentioning,neutral
I,bevel,made,positive
surface,nails,grip,positive
surface,seam,grip,positive
water,seep,into,positive
water,moves,easiest,positive
people,upright,two-thirds,positive
seams,made,up-and-down,positive
stress,up-and-down,is,positive
joints,made,sideways,positive
stress,sideways,is,positive
body,square,like,positive
animal magnetism,makes,stress,positive
seams,made,on the bevel,positive
earth,sinks,down,positive
earth,sinks,on the bevel,positive
earth,sinks,by the centre,positive
stress,being,up-and-down,positive
VARDAMAN,mother,is,positive
IT,ten o'clock,was,positive
Peabody's team,hitched,on to,positive
buckboard,dragged,back,positive
Quick,found,it,positive
river,is,up,positive
bridge-piling,had,ever seen,positive
bridge,won't stand,a whole lot of water,positive
Anse,meets,us,positive
He,shaved,but not good,positive
cut,on,jaw,positive
shirt,is,drawn smooth,positive
shirt,making,it look,positive
face,is,different,positive
face,looks,folks in the eye,positive
face,is,tragic,positive
face,is,composed,positive
us,walk,up on to,positive
shoes,scrape,our,positive
Peabody,told,about,positive
team,broke away,when,positive
I,fix,it,positive
womenfolks,go on into,the house,positive
fans,go,whish,positive
fans,talking,kind of like,positive
men,stop,on,positive
Littlejohn,Armstid,says,positive
Armstid,Uncle Billy,says,positive
Uncle Billy,Cash,says,positive
Armstid,Cash,says,positive
Cash,Quick,says,positive
Cash,Anse Bundren,says,negative
Anse Bundren,Cora,says,negative
they,third day,got back,positive
they,wagon,loaded,positive
wagon,Samson’s bridge,started,positive
Samson’s bridge,Jefferson,take,positive
You,team,Take,positive
It,slough,saw,positive
It,fish,had,negative
I,you,come on,positive
I,you,go,positive
It,horse,dead,negative
I,mother,love,negative
buzzards,clouds,giving,positive
he,it,lifts,positive
we,it,carry,positive
pa,door,shut and lock,positive
Jewel,Cash,distanced,negative
Jewel,path,carries,positive
MacCallum,Rafe,says,positive
MacCallum,Bundren,says,positive
Quick,Bundren,says,positive
Quick,Snopes,says,positive
MacCallum,Snopes,says,positive
Quick,Jewel,says,positive
I,Lon,says,positive
Quick,Lon,says,positive
Quick,Tull,says,positive
MacCallum,Tull,says,positive
Quick,Cash,says,positive
I,Cash,says,positive
I,Mouth of Ishatawa,says,positive
MacCallum,Mouth of Ishatawa,says,positive
Quick,Rachel,says,positive
I,Rachel,says,positive
I,Addie,says,positive
I,Vardaman,used to sleep with,positive
I,nightmare,had,negative
I,bed,couldn’t feel,negative
I,name,couldn’t think of,negative
I,girl,couldn’t think I am a,negative
I,wind,blowing over,positive
wind,me,blew,positive
wind,room,blowing,positive
wind,Vardaman,asleep,neutral
Vardaman,nightmare,sleep with,neutral
we,New Hope,go to,neutral
Vardaman,Mr. Samson,said,neutral
Darl,Jewel,says,neutral
buzzard,sky,as still as,neutral
we,Tull’s lane,turn into,neutral
we,barn,passing,neutral
wheels,mud,whispering in,neutral
wheels,cotton,passing,neutral
Vernon,field,across,neutral
we,Tull’s lane,passing,neutral
we,Vernon,passing,neutral
we,Vernon,go on,neutral
we,Vernon,lifts,neutral
we,Vernon,stands,neutral
Darl,I,looking at,neutral
Jewel,Darl,sits on,neutral
Jewel,horse,sits on,neutral
Jewel,Darl,sits on,neutral
Jewel,Darl,made out of,neutral
I,God,believe in,positive
Vardaman,New Hope,go to,neutral
Mr. Samson,we,said,neutral
we,road,passed,neutral
Darl,Jewel,Look,neutral
buzzard,sky,as still as,neutral
mule,trace chains,taken out,neutral
I,mule,followed,neutral
they,wagon,setting in,neutral
Anse,bridge,looking at,neutral
folks,him,lying to,negative
folks,him,hoping,positive
he,it,believed,positive
he,it,hoping,positive
he,it,looking at,neutral
boy,bridge,watching,neutral
gal,me,looked around at,negative
she,Anse,looked at,neutral
she,water,looked at,neutral
earth,levee,hid,neutral
earth,tongue,going out to,neutral
earth,water,down into,neutral
Darl,me,looking at,neutral
Cash,me,looked at,neutral
him,planks,figuring on,neutral
him,planks,measuring,neutral
him,planks,listening,neutral
Jewel,Darl,passing,neutral
I,gal,watching,neutral
I,gal,touch,negative
I,gal,looking at,neutral
I,gal,made to touch,negative
I,gal,says something to,neutral
Anse,gal,give,positive
Anse,Lord,in the presence of,positive
Anse,Lord,reckon,positive
Anse,mules,start,neutral
log,jam,shoved over,neutral
log,water,float on,neutral
log,water,rolling and turning,neutral
log,ford,go on to,neutral
log,ford,slow up and whirl,neutral
ford,water,hang out of,neutral
ford,water,used to be,neutral
I,quicksand,built up,negative
Whitfield,it,crossed,neutral
Whitfield,horse-back,was,neutral
Whitfield,days ago,three,neutral
it,foot,set,neutral
it,mess,set foot on,negative
Darl,me,looking at,neutral
gal,me,watching,neutral
Anse,mules,start,neutral
log,jam,shoved over,neutral
log,water,float on,neutral
log,water,rolling and turning,neutral
log,ford,go on to,neutral
log,ford,slow up and whirl,neutral
ford,water,hang out of,neutral
ford,water,used to be,neutral
I,quicksand,built up,negative
Whitfield,it,crossed,neutral
Whitfield,horse-back,was,neutral
Whitfield,days ago,three,neutral
it,foot,set,neutral
it,mess,set foot on,negative
Jewel,me,shut up,negative
Jewel,me,asked,negative
Jewel,me,follow,negative
Jewel,me,damn ploughing,negative
Cash,Jewel,says,neutral
Jewel,horse,moving,positive
Cash,bridge,looking at,neutral
Anse,water,looking at,neutral
Cash,Dewey Dell,walk across,neutral
Cash,Vardaman,walk across,neutral
Cash,pa,walk across,neutral
Jewel,Vernon,help,positive
Jewel,mule,hitch,positive
Jewel,Vernon,buy,positive
Jewel,Vernon,pay for,positive
Jewel,Vernon,use,neutral
Darl,Vernon,risk,neutral
Cash,Darl,shut up,negative
Cash,Jewel,shut up,negative
Darl,horse,sits,neutral
Darl,Vernon,glaring at,negative
Darl,face,suffused up to,neutral
Darl,summer,took,neutral
Darl,spell,took,neutral
Darl,mules,feed,neutral
Darl,cows,milking,neutral
Darl,pa,call,neutral
Darl,mules,put in,neutral
Darl,Jewel,found,neutral
Darl,tie-up,found,neutral
Darl,Jewel,asleep,negative
Darl,Jewel,sent,neutral
Darl,Jewel,waking up,neutral
Darl,Jewel,jawing,negative
Darl,Jewel,complaining,negative
Darl,Jewel,take,neutral
Darl,milk buckets,take,neutral
Darl,Jewel,go to the barn,neutral
Darl,Jewel,asleep at the cow,negative
Darl,Dewey Dell,do,neutral
Darl,milking,do,neutral
Darl,pa,wake,neutral
Darl,Jewel,get up,neutral
Darl,pa,jawing,negative
Darl,pa,complaining,negative
Darl,Jewel,waking up,neutral
Darl,Jewel,answer,neutral
Darl,Jewel,waking up,neutral
Darl,Jewel,stay in the house,negative
Darl,pa,need,positive
Darl,pa,tight enough,negative
Darl,pa,do,neutral
Darl,Cash,do,neutral
Darl,ma,want,positive
Darl,pa,want,positive
Darl,pa,spend,negative
Darl,Jewel,eat,positive
Darl,pa,get,neutral
Darl,doctor,get,neutral
Darl,Jewel,seem,neutral
Darl,thinness,losing,negative
Darl,Jewel,swore,neutral
Darl,ma,got,positive
Darl,Dewey Dell,do,neutral
Darl,Vardaman,do,neutral
Darl,ma,found,positive
Darl,Addie Bundren,teach,positive
Darl,deceit,teach,positive
Darl,world,teach,positive
Darl,poverty,teach,positive
Darl,Addie Bundren,hating,negative
Darl,Jewel,hating,negative
Darl,herself,hating,negative
Darl,Jewel,love,positive
Darl,deceit,act,negative
Darl,sick,taken,negative
Darl,barn,went to,neutral
Darl,team,put in,neutral
Darl,Tull's,drive to,neutral
Darl,lantern,find,neutral
Darl,Cash,told,neutral
Cash,Darl,looked at,neutral
Cash,I,said,positive
I,lantern,why,neutral
I,Dewey Dell,told,positive
I,girl,thought of,neutral
I,married woman,thought of,neutral
I,young boy,hates to see,negative
field,woods,trail,neutral
I,Cash,told,positive
nights,cool,began to get,neutral
nights,longer,began to get,neutral
I,Cash,admired,positive
I,Cash,downright respect,positive
I,Cash,told,positive
I,Cash,watching,neutral
I,Cash,found out,neutral
I,Cash,think about,neutral
I,Cash,digesting,neutral
I,Cash,never did,neutral
November,months,was,neutral
Jewel,bed,was not in,negative
Jewel,field,join,neutral
ma,Vardaman,sent,positive
Jewel,ditch,came up along,neutral
Jewel,field,turned straight across,neutral
Jewel,horse,riding,neutral
mane,tail,were going,neutral
mane,tail,carrying out,neutral
Jewel,pa,said,neutral
Jewel,pa,said,neutral
Jewel,pa,said,neutral
Jewel,ma,said,positive
Jewel,Cash,said,positive
Jewel,Vardaman,said,positive
Jewel,Pa,said,negative
ma,Jewel,said,neutral
Cash,Jewel,said,positive
Vardaman,Jewel,said,positive
Pa,Jewel,said,negative
ma,Vardaman,said,neutral
Jewel,Quick,says,neutral
ma,Jewel,said,neutral
Jewel,Vardaman,said,neutral
Jewel,Pa,said,negative
Pa,Jewel,said,negative
Jewel,Vardaman,said,neutral
ma,Jewel,said,neutral
ma,Jewel,said,neutral
TULL,Anse,got,neutral
Anse,TULL,says,neutral
TULL,Anse,says,neutral
Cash,Vernon,flapping,neutral
We,Vernon,looking at,neutral
We,Vernon,watching,neutral
We,Vernon,move on,neutral
We,Vernon,dropping hands,neutral
Cash,Addie,looking at,neutral
Jewel,Horse,moving,neutral
Cash,Jewel,not paying attention,negative
Jewel,Cash,not paying attention,negative
Jewel,Cash,afraid to drive,negative
Jewel,Cash,eyes pale,neutral
Cash,Jewel,telling what to do,neutral
I,Jewel,asking,neutral
I,Cash,asking,neutral
I,Cash,recommending,neutral
I,Cash,realizing,neutral
Cash,River,not a hundred yards across,neutral
Pa,River,not a hundred yards across,neutral
Vernon,River,not a hundred yards across,neutral
Vardaman,River,not a hundred yards across,neutral
Dewey Dell,River,not a hundred yards across,neutral
Mules,River,not a hundred yards across,neutral
Cash,Wagon,turning back,neutral
I,Wagon,shoving,neutral
I,Addie,shoving,neutral
Cash,Addie,laying hands on,neutral
I,Cash,looking at,neutral
I,Cash,realizing,neutral
I,Cash,knowing,neutral
I,Cash,seeing,neutral
I,Cash,jumping,neutral
I,Cash,realizing,neutral
I,Cash,seeing,neutral
I,Cash,watching,neutral
I,Cash,leaning,neutral
I,Cash,reaching down,neutral
I,Cash,holding,neutral
I,Cash,jumping,neutral
I,Cash,running,neutral
I,Cash,hollering,neutral
Dewey Dell,Vardaman,hollering,neutral
Dewey Dell,Vardaman,hollering,neutral
Vernon,Vardaman,passing,neutral
Darl,Vardaman,jumping,neutral
Darl,Vardaman,going under,neutral
Cash,Darl,hollering,neutral
I,Dewey Dell,hollering,neutral
Vardaman,Darl,catching,neutral
Darl,Addie,catching,neutral
Darl,Addie,jumping into,neutral
Darl,Vernon,hollering,positive
Darl,mules,grabble,positive
Darl,water,catch,positive
Darl,water,fight,negative
Darl,Vernon,help,negative
mules,water,dive,neutral
mules,water,roll,neutral
Darl,mules,pass,neutral
Darl,water,dodge,neutral
Darl,mules,catch,positive
Darl,water,hold,positive
Darl,water,fight,negative
Darl,Vernon,help,negative
mules,water,dive,neutral
mules,water,roll,neutral
wagon,current,shove,neutral
wagon,current,tilt,negative
log,wagon,go on,neutral
mules,water,kick loose,neutral
horse,bank,head,neutral
horse,bank,drag,negative
horse,bank,lunge,neutral
Cash,coffin,brace,positive
horse,bank,drag,negative
Vernon,Vardaman,call,neutral
Vernon,Vardaman,watch,neutral
Vernon,Vardaman,wet,neutral
Vernon,Vardaman,move,neutral
Vernon,Vardaman,hold,positive
Vernon,Vardaman,back,neutral
Vernon,Vardaman,look at,neutral
Vernon,Vardaman,yell at,negative
Dewey Dell,Cash,wipe,positive
Jewel,Vernon,find,positive
Jewel,Cash,talk,neutral
Jewel,Cash,turn,neutral
Jewel,Cash,go away,neutral
Jewel,talk,tell,neutral
wagon,river,haul,positive
wagon,wheels,chock,positive
wagon,flood,edge,neutral
wagon,planks,lie,neutral
rope,tree,make fast,positive
Vardaman,river,stand,neutral
Vardaman,Vernon,watch,neutral
Vardaman,yell,stop,negative
Vernon,hammer,got,positive
Vernon,chalk-line,got,positive
Vernon,Jewel,says,positive
Jewel,chalk-line,got,positive
Jewel,saw,find,positive
Jewel,water,entering,positive
Jewel,Vardaman,says,positive
I,Jewel,follow,positive
I,water,entering,positive
I,rope,holding,positive
Vernon,I,watching,positive
Vernon,Jewel,says,positive
Vernon,Jewel,looking,positive
Vernon,mule,strike out,negative
Jewel,Vernon,says,positive
Jewel,Vernon,diving,positive
Dewey Dell,Jewel,make,positive
Dewey Dell,Jewel,says,positive
Dewey Dell,Jewel,looking,positive
Dewey Dell,I,says,positive
Jewel,Dewey Dell,looking,positive
Jewel,Vernon,says,positive
Vernon,Vardaman,looking,positive
Vernon,Jewel,give,positive
Vernon,Vardaman,looking,positive
Vernon,Jewel,watching,positive
Vernon,Jewel,face,positive
Jewel,Vernon,watching,positive
Jewel,Vernon,face,positive
Lon Quick,cloudy sky,look,positive
I,Jewel,say,positive
Jewel,water,float,negative
Vernon,water,float,neutral
Jewel,hammer,float,neutral
Vernon,Jewel,bet,neutral
Jewel,Vernon,bet,neutral
Jewel,plane,get,positive
Jewel,chalk-line,tie,neutral
Jewel,water,enter,neutral
Pa,us,look,neutral
Jewel,Dewey Dell,say,neutral
Jewel,Dewey Dell,crowd,negative
Jewel,plane,hold,positive
Jewel,string,trail,neutral
Jewel,Vernon,argue,neutral
Vernon,Darl,know,neutral
Vernon,me,look,neutral
Jewel,current,lean,neutral
Vernon,Jewel,go,neutral
Vernon,Jewel,answer,neutral
Vernon,Jewel,watch,neutral
Vernon,water,watch,neutral
Jewel,Vernon,answer,neutral
Jewel,Vernon,watch,neutral
Jewel,plane,fling,neutral
Jewel,string,let,neutral
Jewel,Vernon,hand,positive
Vernon,Jewel,answer,neutral
Jewel,Dewey Dell,whimper,negative
Vernon,Jewel,look,neutral
Jewel,Vernon,look,neutral
Jewel,Vernon,rise,neutral
Jewel,Vernon,follow,neutral
pa,us,stand,neutral
us,Cash,hold,positive
Dewey Dell,Cash,lift,positive
pa,Dewey Dell,lay,neutral
Dewey Dell,Cash,say,neutral
Jewel,Vernon,move,neutral
Jewel,Vernon,turn,neutral
Vernon,Jewel,look,neutral
pa,us,loom,neutral
Dewey Dell,Cash,wipe,neutral
pa,Dewey Dell,lay,neutral
pa,fellow,call,neutral
pa,Dewey Dell,lay,neutral
Jewel,Vernon,violate,neutral
Jewel,Vernon,sever,neutral
Jewel,river,move,neutral
machinery,you,dissolve,neutral
clotting,you,dissolve,neutral
seeing,you,blind,neutral
hearing,you,deaf,neutral
fury,itself,quiet,neutral
fury,stagnation,quiet,neutral
Dewey Dell,dress,shape,neutral
dress,eyes,shape,neutral
dress,blind men,shape,neutral
dress,horizons,shape,neutral
dress,valleys,shape,neutral
She,Anse,tell,positive
She,children,give,positive
She,Anse,ask,negative
She,Anse,fulfill,positive
She,Anse,let,positive
She,Anse,be,positive
Anse,die,die,negative
I,Anse,lie,positive
I,Anse,refuse,negative
I,Anse,lay,positive
I,Anse,hear,positive
I,Anse,hide,negative
Cora,I,talk,positive
WHITFIELD,she,tell,negative
WHITFIELD,God,confess,positive
WHITFIELD,God,ask,positive
WHITFIELD,God,receive,positive
WHITFIELD,God,repair,positive
WHITFIELD,God,forgive,positive
WHITFIELD,God,pray,positive
WHITFIELD,God,cleanse,positive
WHITFIELD,God,accept,positive
WHITFIELD,God,restrain,positive
WHITFIELD,God,praise,positive
Darl,horse,ride,positive
Darl,Armstid,lead,positive
Darl,Cash,lay,positive
Darl,Dewey Dell,sit,positive
Darl,Vernon,watch,positive
Darl,Armstid,wait,positive
Darl,Mrs. Armstid,undress,positive
Darl,pa,follow,positive
Darl,Armstid,welcome,positive
pa,team,appreciate,positive
team,wagon,rolled,positive
shed,open side,propped,positive
Armstid,house,welcome,positive
pa,Armstid,thank,positive
Armstid,Lula,supper ready,positive
Armstid,pa,come in and eat,positive
pa,food,taking,positive
pa,team,getting,positive
Armstid,whisky,give,positive
Armstid,supper,give,positive
Armstid,team,bought,positive
Armstid,Snopes,try,positive
Armstid,team,put money in,negative
Armstid,mules,get out,negative
Anse,team,take out,positive
Anse,horse,ridden,positive
Jewel,Bend,rode over to,positive
Jewel,Peabody,get,positive
Uncle Billy,Cash,look at,neutral
Uncle Billy,Anse,run out of the room,negative
Uncle Billy,Cash,drink,positive
Uncle Billy,work,went to,neutral
Darl,tools,brought,positive
Anse,Bend,rode over to,positive
Jewel,Bend,let ride,negative
Jewel,Anse,take out after,negative
she,I,said,positive
I,Jewel,asked,positive
Jewel,Darl,come out,positive
Jewel,Darl,said,positive
Jewel,Darl,won't help,negative
I,Jewel,called,positive
I,Jewel,yelling,negative
I,Jewel,said,positive
I,Jewel,went back,positive
I,Jewel,come riding up,positive
I,Jewel,said,positive
I,Jewel,looking,positive
Anse,Jewel,come here,positive
Anse,Jewel,said,positive
Anse,Jewel,quit looking,negative
Anse,Jewel,got,negative
Anse,Jewel,give,positive
Anse,Jewel,looked,negative
Anse,Jewel,give,positive
Anse,Jewel,father-son relationship,positive
Anse,Darl,father-son relationship,positive
Anse,Cash,father-son relationship,positive
Anse,Eustace Grimm,acquaintance,neutral
Anse,Snopes,acquaintance,neutral
Jewel,horse,possession,positive
Jewel,Texas,destination,neutral
Cash,clothes,possession,neutral
Cash,talking machine,possession,positive
Cash,coffin,possession,neutral
Eustace Grimm,mules,possession,neutral
Eustace Grimm,Texas,origin,neutral
Eustace Grimm,horse,possession,neutral
Eustace Grimm,Anse,acquaintance,neutral
Snopes,team,possession,neutral
Snopes,horse,possession,neutral
Snopes,Anse,acquaintance,neutral
He,looks up,action,neutral
We,watch,action,neutral
I,say,action,neutral
There,were,action,neutral
I,say,action,neutral
Do you know,I,question,neutral
Darl,says,action,neutral
I,say,action,neutral
Cash,is sick,state,negative
pa,says,action,neutral
How do you feel,Cash,question,neutral
Darl,says,action,neutral
Cash,has,action,neutral
I,say,action,neutral
Jewel,has gone away,action,neutral
pa,says,action,neutral
Jewel,is in the shed,state,neutral
I,said,action,neutral
Maybe,Darl,action,neutral
Cash,says,action,neutral
Dewey Dell,hasn't got,state,neutral
I,haven't got,state,neutral
Cash,is,state,neutral
We,stop,action,neutral
Darl,loosens,action,neutral
Cash,begins to sweat,action,negative
Darl,puts,action,neutral
Cash,says,action,neutral
Darl,puts,action,neutral
Cash,says,action,neutral
Darl,says,action,neutral
Cash,says,action,neutral
pa,says,action,neutral
Cash,says,action,neutral
We,go on,action,neutral
Dewey Dell,leans back,action,neutral
Cash,is,state,neutral
Jewel,mother is a horse,state,neutral
Darl,says,action,neutral
Dewey Dell,does not look around,action,neutral
You better try,Darl,action,neutral
I,Darl,say,positive
Darl,Snopes,fed,positive
I,Darl,say,positive
Darl,Dewey Dell,say,positive
pa,mules,stops,positive
Darl,Dewey Dell,walk,positive
MOSELEY,window,look,positive
MOSELEY,Albert,see,positive
MOSELEY,counter,go around,positive
MOSELEY,feet,look,positive
MOSELEY,eyes,look,positive
MOSELEY,fountain,look,positive
MOSELEY,toilet water,buy,positive
MOSELEY,dress,look,positive
MOSELEY,complexion,look,positive
MOSELEY,female dope,buy,positive
MOSELEY,prescription case,go to,positive
MOSELEY,gate,go to,positive
Albert,told,told,positive
Dewey Dell,went,went,positive
Texas,location,from,positive
Yoknapatawpha county,location,from,positive
Jefferson,location,to,positive
store,location,in,positive
drug-store,location,at,positive
hardware store,location,in,positive
wagon,stopped,stopped,negative
ladies,scattering,scattering,negative
marshal,arguing,arguing,negative
man,sitting,sitting,positive
fellow,lying,lying,neutral
son,trying,trying,positive
Grummet,broke,broke,negative
father,told,told,positive
mules,drowned,drowned,negative
girl,delivered,delivered,positive
Darl,cement,have,positive
Darl,wagon,get in,positive
supper,smell,seem,positive
smell,marshal,met,positive
marshal,Jefferson,in,positive
marshal,jail,in,negative
Lord,jail,thank,positive
place,pa,says,positive
pa,water,get,positive
pa,bucket,borrow,positive
pa,God,beholden,negative
pa,can,bring,positive
Dewey Dell,wagon,get down from,positive
Dewey Dell,package,carry,positive
Dewey Dell,cake,selling,negative
life,gesture,ravel out into,neutral
compulsion,gesture,echoes of,neutral
sunset,fall into,in,neutral
gesture,doll,dead,neutral
Cash,leg,broke,negative
sawdust,Cash,running out,negative
man,Dewey Dell,comes with,positive
man,porch,stands on,neutral
pa,splints,loosen,positive
splints,cement,pour over,positive
cement,leg,pour over,positive
leg,Cash,rubbing together,negative
cement,Vardaman,pours into,positive
Vardaman,road,goes back down,neutral
road,branch,crossed,neutral
branch,sand,returns with,positive
I,Dewey Dell,say,positive
Dewey Dell,Cash,tears,positive
Dewey Dell,Cash,wipes,positive
I,Cash,asks,positive
I,Cash,replace,positive
I,Cash,watching,positive
pa,Cash,says,positive
pa,Jewel,says,positive
VARDAMAN,DARL,say,positive
I,VARDAMAN,say,positive
DARL,Jewel,say,negative
I,Vardaman,took,positive
I,Vardaman,listen,positive
Cash,sweat,began,negative
I,Cash,pour,positive
we,water,poured,positive
water,leg,over,neutral
leg,cement,below,neutral
leg,boiled,looked like,negative
we,Cash,said,neutral
Dewey Dell,face,wipes,neutral
Dewey Dell,dress,with,neutral
we,Dewey Dell,say,neutral
Cash,sleep,get,positive
Cash,obliged,said,positive
Darl,Jewel,say,neutral
Jewel,father,was,neutral
VARDAMAN,apple tree,was under,neutral
Darl,I,go across,neutral
cat,moon,jumps down,neutral
we,her,hear,neutral
her,wood,inside,neutral
Darl,I,put,neutral
I,her,close,neutral
I,her,can hear,neutral
her,saying,can't tell,neutral
she,God,talking to,neutral
she,Him,calling on,neutral
Him,help,to,positive
she,sight of man,hide away from,neutral
she,life,lay down,neutral
Darl,we,hear,neutral
her,side,turn over on,neutral
Darl,I,put,neutral
I,her,close,neutral
I,her,can hear,neutral
she,Darl,looking at,neutral
she,wood,through,neutral
Darl,we,let,neutral
she,quiet,be,neutral
holes,top,are in,neutral
she,Cash,about,neutral
Darl,Cash,see,neutral
I,Dewey Dell,told,neutral
Cash,leg,is sick in,negative
we,leg,fixed,positive
we,water,pour,positive
Cash,sleep,get,positive
Dewey Dell,me,told,positive
Dewey Dell,pallet,sleep on,positive
Dewey Dell,barn,see,positive
Dewey Dell,legs,look,positive
Dewey Dell,apple tree,smell,positive
Dewey Dell,barn,carry,positive
Dewey Dell,me,waited,positive
Dewey Dell,me,told,positive
